seller_id,seller_name,origin
1,TechNova Retail,USA
2,UrbanThreads Co,UK
3,HomeEssentials Inc,Canada
4,GlowBeauty Supplies,South Korea
5,PeakOutdoor Gear,USA
6,FunTime Toys LLC,China
7,PantryFresh Foods,India
8,OfficePro Supplies,Germany
9,PawsomePet Co,Australia
10,AutoGear Direct,Japan
11,WellnessFirst Health,Switzerland
12,ModernLiving Furniture,Sweden
13,StrideFootwear Co,Italy
14,LuxeJewels Studio,France
15,PrimeGadgets Store,Singapore
16,BookNook Publishers,UK
17,FitLife Equipment,USA
18,CozyHome Textiles,Turkey
19,SwiftShip Electronics,Taiwan
20,EverGreen Organics,New Zealand
21,MetroStyle Apparel,Italy
22,ClassicRead Books,USA
23,SunriseKitchenware,Japan
24,TrailBlazer Outfitters,Canada
25,SilverLine Accessories,UAE
